spanish,english,level,image_link
hola,hello,A1, https://img.favpng.com/3/19/3/emoticon-smiley-vector-graphics-clip-art-thumb-signal-png-favpng-TYUVmammDc4SvVCYpkNHTQ3UP_t.jpg
adiós,goodbye,A1, https://img.favpng.com/5/10/4/hand-waving-wave-emoji-clip-art-png-favpng-GtGDqwq5DnSHvBzHYCg7BfZgX_t.jpg
gracias,thank you,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
por favor,please,A1, https://img.favpng.com/2/25/17/praying-hands-christian-prayer-emoji-religion-png-favpng-MQsBSgneVpy8KvP9wDgy8cDbD_t.jpg
sí,yes,A1, https://img.favpng.com/15/8/7/thumb-signal-smiley-emoticon-clip-art-png-favpng-0AMxNcZ41UE7a9VqHgdyBRYwz_t.jpg
no,no,A1, https://img.favpng.com/16/0/23/no-emoji-iphone-gesture-emoticon-png-favpng-vyaQQUPphFFNwaxLvw0y2U7ES_t.jpg
abandonar,to abandon,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
absorber,to absorb,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
abstenerse,to abstain,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acelerar,to accelerate,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acercar,to bring near,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aclarar,to clarify,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acompañar,to accompany,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aconsejar,to advise,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acordar,to agree,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acostumbrar,to be accustomed,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acumular,to accumulate,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
acusar,to accuse,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
adelantar,to advance,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
admirar,to admire,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
admitir,to admit,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
adoptar,to adopt,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
advertir,to warn,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
afectar,to affect,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
afligir,to afflict,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
ahorrar,to save (money),A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
alcanzar,to reach,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
alegrar,to make happy,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
alimentar,to feed,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aliviar,to alleviate,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
alquilar,to rent,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
alumbrar,to illuminate,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
alzar,to lift,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
analizar,to analyze,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
anotar,to note down,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
anticipar,to anticipate,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
apagar,to turn off,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aparecer,to appear,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aplaudir,to applaud,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aplicar,to apply,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
apoyar,to support,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
apreciar,to appreciate,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
apresurar,to hurry,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
aprobar,to approve,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
